X.1;Flats obv statistisch formulier bouwvergunning;Woonhuizen obv statistisch formulier bouwvergunning;Flats obv databank Omgevingsvergunningen;Woonhuizen obv statistisch formulier bouwvergunning1
2005;138;249,3;;
2006;139,3;260,5;;
2007;138,9;261,1;;
2008;142,6;258,6;;
2009;144,2;267,7;;
2010;135,2;259,9;;
2011;138,6;266,1;;
2012;138,4;268,6;;
2013;135,7;277,7;;
2014;133,5;254;;
2015;139,5;258,2;;
2016;129,8;231,6;;
2017;;;122,1;220,3
2018;;;107,5;213,8
2019;;;104,2;200,7
2020;;;103,8;197,8
2021;;;104,3;197,5
2022;;;104,6;197,9
2023;;;103,9;196,9
2024;;;105,1;202,3
